,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal,year
2667,1354947,COUTINHO Geisa Aparecida,Female,41,BRA,Brazil,ATH,Athletics,4 x 400m Relay Mixed,NA,NA,2020
2668,1314440,COUZY Melanie,Female,31,FRA,France,SHO,Shooting,Trap Women,25,NA,2020
2669,1459202,COWARD HOLLEY Matthew John,Male,26,GBR,Great Britain,SHO,Shooting,Trap Men,3,Bronze,2020
2670,1459202,COWARD HOLLEY Matthew John,Male,26,GBR,Great Britain,SHO,Shooting,Trap Mixed Team,10,NA,2020
2671,1472444,COWARD Josh,Male,24,AUS,Australia,RUG,Rugby Sevens,Men Team,7,NA,2020
2672,1481549,COWLEY Rhydian,Male,30,AUS,Australia,ATH,Athletics,Men's 50km Race Walk,8,NA,2020
2673,1348946,COX Bronwyn,Female,24,AUS,Australia,ROW,Rowing,Women's Eight Team,5,NA,2020
2674,1484408,COX Michelle,Female,30,AUS,Australia,BSB,Baseball/Softball,Softball Team,5,NA,2020
2675,1440071,COXSEY Shauna,Female,28,GBR,Great Britain,CLB,Sport Climbing,Women's Combined,10,NA,2020
2676,1326934,COYLE Natalya,Female,30,IRL,Ireland,MPN,Modern Pentathlon,Women's Individual,24,NA,2020
2677,1287118,COZMIUC Ionela,Female,26,ROU,Romania,ROW,Rowing,Lightweight Women's Double Sculls Team,6,NA,2020
2678,1285995,COZMIUC Marius,Male,28,ROU,Romania,ROW,Rowing,Men's Pair Team,2,Silver,2020
2679,1444581,CRACKLES Fiona Anne,Female,21,GBR,Great Britain,HOC,Hockey,Women Team,3,Bronze,2020
2680,1342550,CRADDOCK Lawson,Male,29,USA,United States,CRD,Cycling Road,Men's Road Race,80,NA,2020
2681,1342550,CRADDOCK Lawson,Male,29,USA,United States,CRD,Cycling Road,Men's Individual Time Trial,34,NA,2020
2682,1444675,CRAIG Emily,Female,28,GBR,Great Britain,ROW,Rowing,Lightweight Women's Double Sculls Team,4,NA,2020
2683,1483105,CRAIG Thomas William,Male,25,AUS,Australia,HOC,Hockey,Men Team,2,Silver,2020
2684,1453306,CRANNY Elise,Female,25,USA,United States,ATH,Athletics,Women's 5000m,13,NA,2020
2685,1453306,CRANNY Elise,Female,25,USA,United States,ATH,Athletics,"Women's 10,000m",NA,NA,2020
2686,1358222,CRAVIOTTO Saul,Male,36,ESP,Spain,CSP,Canoe Sprint,Men's Kayak Single 200m,7,NA,2020
2687,1358222,CRAVIOTTO Saul,Male,36,ESP,Spain,CSP,Canoe Sprint,Men's Kayak Four 500m Team,2,Silver,2020
2688,1444582,CREED Brendan William John,Male,28,GBR,Great Britain,HOC,Hockey,Men Team,5,NA,2020
2689,1370461,CREMEN Margaret,Female,22,IRL,Ireland,ROW,Rowing,Lightweight Women's Double Sculls Team,8,NA,2020
2690,1337870,CRESCENZO Angelo,Male,28,ITA,Italy,KTE,Karate,Men's Kumite -67kg,NA,NA,2020
2691,1393393,CRESTAN Eliott,Male,22,BEL,Belgium,ATH,Athletics,Men's 800m,NA,NA,2020
2692,1344114,CREVAR Anja,Female,21,SRB,Serbia,SWM,Swimming,Women's 200m Individual Medley,NA,NA,2020
2693,1344114,CREVAR Anja,Female,21,SRB,Serbia,SWM,Swimming,Women's 400m Individual Medley,NA,NA,2020
2694,1433319,CREVIER Axelle,Female,24,CAN,Canada,WPO,Water Polo,Women Team,7,NA,2020
2695,1432430,CREW Brittany,Female,27,CAN,Canada,ATH,Athletics,Women's Shot Put,NA,NA,2020
2696,1297243,CRIPPA Yemaneberhan,Male,24,ITA,Italy,ATH,Athletics,Men's 5000m,NA,NA,2020
2697,1297243,CRIPPA Yemaneberhan,Male,24,ITA,Italy,ATH,Athletics,"Men's 10,000m",11,NA,2020
2698,1312480,CRISCIO Martina,Female,27,ITA,Italy,FEN,Fencing,Women's Sabre Individual,24,NA,2020
2699,1312480,CRISCIO Martina,Female,27,ITA,Italy,FEN,Fencing,Women's Sabre Team,4,NA,2020
2700,1393363,CROENEN Louis,Male,27,BEL,Belgium,SWM,Swimming,Men's 100m Butterfly,NA,NA,2020
2701,1393363,CROENEN Louis,Male,27,BEL,Belgium,SWM,Swimming,Men's 200m Butterfly,NA,NA,2020
2702,1333471,CROMWELL Tiffany,Female,33,AUS,Australia,CRD,Cycling Road,Women's Road Race,26,NA,2020
2703,1348947,CRONIN Caitlin,Female,26,AUS,Australia,ROW,Rowing,Women's Quadruple Sculls Team,3,Bronze,2020
2704,1485199,CROOKS Jillian,Female,15,CAY,Cayman Islands,SWM,Swimming,Women's 100m Freestyle,NA,NA,2020
2705,1467345,CROON Jorrit,Male,22,NED,Netherlands,HOC,Hockey,Men Team,6,NA,2020
2706,1433257,CROTHERS William,Male,34,CAN,Canada,ROW,Rowing,Men's Four Team,8,NA,2020
2707,1458864,CROUSER Ryan,Male,28,USA,United States,ATH,Athletics,Men's Shot Put,1,Gold,2020
2708,1291041,CROVETTO CHADID Francisca,Female,31,CHI,Chile,SHO,Shooting,Skeet Women,23,NA,2020
2709,1281631,CROWLEY Aileen,Female,27,IRL,Ireland,ROW,Rowing,Women's Pair Team,11,NA,2020
2710,1489625,CRUMPTON Nathan,Male,35,ASA,American Samoa,ATH,Athletics,Men's 100m,NA,NA,2020
2711,1413176,CRUYSBERGHS Axel,Male,26,BEL,Belgium,SKB,Skateboarding,Men's Street,13,NA,2020
2712,1286650,CRUZ Amado,Male,33,BIZ,Belize,CSP,Canoe Sprint,Men's Kayak Single 200m,23,NA,2020
2713,1286650,CRUZ Amado,Male,33,BIZ,Belize,CSP,Canoe Sprint,Men's Kayak Single 1000m,25,NA,2020
2714,1306619,CRUZ Andy,Male,25,CUB,Cuba,BOX,Boxing,Men's Light (57-63kg),1,Gold,2020
2715,1296203,CRUZ SANDOVAL Brianda Tamara,Female,22,MEX,Mexico,BOX,Boxing,Women's Welter (64-69kg),9,NA,2020
2716,1344240,CRVENDAKIC Aleksandra,Female,25,SRB,Serbia,BKB,Basketball,Women Team,4,NA,2020
2717,1365776,CSEH Laszlo,Male,35,HUN,Hungary,SWM,Swimming,Men's 200m Individual Medley,7,NA,2020
2718,1387266,CSEMEZ Andrej,Male,23,SVK,Slovakia,BOX,Boxing,Men's Middle (69-75kg),9,NA,2020
2719,1350985,CSERNOVICZKI Eva,Female,34,HUN,Hungary,JUD,Judo,Women -48 kg,9,NA,2020
2720,1302771,CSIPES Tamara,Female,31,HUN,Hungary,CSP,Canoe Sprint,Women's Kayak Single 500m,2,Silver,2020
2721,1302771,CSIPES Tamara,Female,31,HUN,Hungary,CSP,Canoe Sprint,Women's Kayak Double 500m Team,4,NA,2020
2722,1302771,CSIPES Tamara,Female,31,HUN,Hungary,CSP,Canoe Sprint,Women's Kayak Four 500m Team,1,Gold,2020
2723,1302775,CSIZMADIA Kolos,Male,25,HUN,Hungary,CSP,Canoe Sprint,Men's Kayak Single 200m,4,NA,2020
2724,1302775,CSIZMADIA Kolos,Male,25,HUN,Hungary,CSP,Canoe Sprint,Men's Kayak Four 500m Team,7,NA,2020
2725,1461910,CUASPUD Marcela,Female,26,ECU,Ecuador,MPN,Modern Pentathlon,Women's Individual,35,NA,2020
2726,1358223,CUBELOS Francisco,Male,28,ESP,Spain,CSP,Canoe Sprint,Men's Kayak Double 1000m Team,6,NA,2020
2727,1308563,CUCKOVIC Uros,Male,31,MNE,Montenegro,WPO,Water Polo,Men Team,8,NA,2020
2728,1328604,CUCURELLA Marc,Male,23,ESP,Spain,FBL,Football,Men Team,2,Silver,2020
2729,1334823,CUDINOVIC Gennadij,Male,27,GER,Germany,WRE,Wrestling,Men's Freestyle 125kg,8,NA,2020
2730,1360298,CUELLO Mirco Jehiel,Male,20,ARG,Argentina,BOX,Boxing,Men's Feather (52-57kg),9,NA,2020
